epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,547.353,2.82672,0.83159,1.43596,0.52641,0.45161,0.40692,0.13191,3.40214,1.19859,1.53051,0.00167528,0.00167528,0.00167528
43,560.978,2.89547,0.85145,1.47063,0.79531,0.66862,0.7283,0.25987,2.76018,0.8069,1.38257,0.00166736,0.00166736,0.00166736
44,574.7,2.89953,0.82651,1.45907,0.79417,0.63343,0.71977,0.28578,2.71693,0.91383,1.36609,0.00165944,0.00165944,0.00165944
45,588.81,2.94692,0.84469,1.43113,0.66029,0.6393,0.6704,0.2533,2.63648,0.95816,1.34723,0.00165152,0.00165152,0.00165152
46,602.763,2.8725,0.864,1.46098,0.82648,0.61584,0.73851,0.30618,2.62571,0.84937,1.35538,0.0016436,0.0016436,0.0016436
47,617.009,2.83121,0.80956,1.4774,0.83462,0.69208,0.79223,0.31444,2.73522,0.70731,1.38406,0.00163568,0.00163568,0.00163568
48,631.11,2.94533,0.86469,1.4596,0.83184,0.65982,0.80659,0.33034,2.52846,0.69727,1.32491,0.00162776,0.00162776,0.00162776
49,645.135,2.89107,0.81023,1.45694,0.87961,0.7654,0.82458,0.30397,2.6358,0.66137,1.34811,0.00161984,0.00161984,0.00161984
50,658.999,2.8295,0.83901,1.44068,0.83217,0.69501,0.75319,0.26349,2.90544,0.88325,1.40434,0.00161192,0.00161192,0.00161192
51,672.544,2.81825,0.79799,1.44266,0.7606,0.68946,0.74364,0.28403,2.62089,0.76541,1.35306,0.001604,0.001604,0.001604
52,686.175,2.86506,0.84255,1.4404,0.79307,0.73056,0.76462,0.26038,2.74564,0.83968,1.36134,0.00159608,0.00159608,0.00159608
53,699.942,2.87967,0.8273,1.46415,0.82712,0.75367,0.80823,0.30925,2.60396,0.72299,1.35512,0.00158816,0.00158816,0.00158816
54,713.674,2.83252,0.81309,1.43508,0.91674,0.80645,0.87676,0.3691,2.54125,0.64438,1.3234,0.00158024,0.00158024,0.00158024
55,726.621,2.73733,0.76663,1.44333,0.60967,0.60704,0.55722,0.18497,3.08293,0.98705,1.4494,0.00157232,0.00157232,0.00157232
56,739.611,2.85307,0.78186,1.44935,0.78588,0.62463,0.68075,0.25192,2.69786,0.8981,1.36397,0.0015644,0.0015644,0.0015644
57,752.384,2.86711,0.82063,1.46134,0.81767,0.73646,0.79807,0.27705,2.66162,0.73764,1.34879,0.00155648,0.00155648,0.00155648
58,764.854,2.77745,0.78654,1.44332,0.85747,0.76246,0.77952,0.27235,2.91102,0.79404,1.39869,0.00154856,0.00154856,0.00154856
59,777.108,2.83812,0.81229,1.46858,0.89719,0.63636,0.75573,0.29272,2.76556,0.95724,1.38821,0.00154064,0.00154064,0.00154064
60,789.528,2.8302,0.74503,1.4488,0.90067,0.77713,0.87535,0.35808,2.58116,0.64861,1.32905,0.00153272,0.00153272,0.00153272
61,801.967,2.77523,0.78949,1.42204,0.86606,0.82111,0.8694,0.35024,2.53523,0.64679,1.32745,0.0015248,0.0015248,0.0015248
62,814.618,2.84031,0.76994,1.44951,0.8244,0.79852,0.81571,0.2722,2.82189,0.70183,1.38844,0.00151688,0.00151688,0.00151688
63,827.287,2.8219,0.75583,1.44515,0.87669,0.65689,0.76647,0.26365,2.99581,0.82534,1.42848,0.00150896,0.00150896,0.00150896
64,839.974,2.86675,0.78172,1.45351,0.29208,0.26393,0.19217,0.05925,3.96392,1.31747,1.64853,0.00150104,0.00150104,0.00150104
65,852.452,2.8302,0.76401,1.45819,0.54064,0.46041,0.42794,0.12647,3.35576,1.10924,1.52067,0.00149312,0.00149312,0.00149312
66,864.82,2.81497,0.76695,1.45627,0.82854,0.74194,0.76501,0.2493,3.00256,0.72645,1.41938,0.0014852,0.0014852,0.0014852
67,877.318,2.81521,0.76188,1.44069,0.79012,0.72141,0.70691,0.23086,2.84141,0.7106,1.37968,0.00147728,0.00147728,0.00147728
68,889.709,2.83834,0.76061,1.44226,0.8982,0.75953,0.8264,0.32269,2.76798,0.72456,1.37109,0.00146936,0.00146936,0.00146936
69,902.076,2.80909,0.77839,1.4365,0.76385,0.69795,0.76035,0.29629,2.62439,0.78016,1.34232,0.00146144,0.00146144,0.00146144
70,914.52,2.86663,0.80436,1.4581,0.76236,0.58358,0.65885,0.27376,2.80812,0.92345,1.40033,0.00145352,0.00145352,0.00145352
71,926.966,2.82441,0.78819,1.43702,0.83687,0.77713,0.84184,0.32597,2.57926,0.66095,1.33071,0.0014456,0.0014456,0.0014456
72,939.729,2.80994,0.731,1.46209,0.88237,0.81818,0.86925,0.31799,2.69066,0.63058,1.34805,0.00143768,0.00143768,0.00143768
73,953.034,2.78678,0.73102,1.43975,0.87813,0.71844,0.83314,0.34174,2.5507,0.73211,1.32664,0.00142976,0.00142976,0.00142976
74,966.004,2.79681,0.73334,1.44001,0.92324,0.83871,0.91182,0.37984,2.50752,0.60431,1.32416,0.00142184,0.00142184,0.00142184
75,979.161,2.78949,0.72168,1.41633,0.52808,0.44868,0.40009,0.12243,3.43985,1.06513,1.53413,0.00141392,0.00141392,0.00141392
76,992.054,2.78306,0.7573,1.46375,0.88084,0.74194,0.8498,0.35005,2.60646,0.69498,1.34114,0.001406,0.001406,0.001406
77,1004.69,2.81096,0.75758,1.42723,0.90392,0.80352,0.83709,0.3118,2.69579,0.6746,1.35781,0.00139808,0.00139808,0.00139808
78,1017.09,2.78413,0.73758,1.45185,0.93865,0.77419,0.87386,0.36359,2.61339,0.65082,1.33396,0.00139016,0.00139016,0.00139016
79,1030.46,2.79425,0.72172,1.45129,0.90555,0.81818,0.86434,0.32923,2.70409,0.64995,1.36167,0.00138224,0.00138224,0.00138224
80,1043.81,2.76963,0.74051,1.41101,0.93152,0.7654,0.8646,0.35599,2.63134,0.63778,1.3449,0.00137432,0.00137432,0.00137432
81,1057.01,2.74367,0.72365,1.43032,0.87258,0.739,0.8216,0.32067,2.70978,0.76406,1.36027,0.0013664,0.0013664,0.0013664
82,1069.65,2.77528,0.72005,1.45212,0.36049,0.31085,0.23022,0.07501,3.77777,1.39471,1.64448,0.00135848,0.00135848,0.00135848
83,1082.06,2.75018,0.73608,1.42354,0.90697,0.77196,0.86641,0.3619,2.53227,0.69266,1.32156,0.00135056,0.00135056,0.00135056
84,1094.37,2.73701,0.7231,1.43179,0.91971,0.85044,0.89726,0.35453,2.60581,0.6224,1.33321,0.00134264,0.00134264,0.00134264
85,1106.82,2.77543,0.74018,1.42585,0.90138,0.82991,0.8867,0.34604,2.61602,0.63327,1.33584,0.00133472,0.00133472,0.00133472
86,1119.61,2.75257,0.75424,1.43629,0.94025,0.85044,0.91862,0.40489,2.48831,0.57998,1.31204,0.0013268,0.0013268,0.0013268
87,1132.14,2.75525,0.74854,1.4394,0.78644,0.53959,0.57778,0.20481,3.06552,1.04432,1.47011,0.00131888,0.00131888,0.00131888
88,1144.75,2.70939,0.72855,1.4298,0.85035,0.78299,0.8538,0.3354,2.59191,0.709,1.33581,0.00131096,0.00131096,0.00131096
89,1156.98,2.75234,0.73609,1.42385,0.90592,0.75953,0.83762,0.30781,2.90212,0.67607,1.40299,0.00130304,0.00130304,0.00130304
90,1170.08,2.71162,0.72586,1.44099,0.82231,0.739,0.78816,0.27963,2.79451,0.71662,1.38783,0.00129512,0.00129512,0.00129512
91,1183.67,2.74909,0.73522,1.41697,0.93069,0.87683,0.93227,0.38307,2.47709,0.607,1.31227,0.0012872,0.0012872,0.0012872
92,1196.48,2.73676,0.73877,1.43305,0.94954,0.85924,0.93432,0.39013,2.51401,0.62003,1.32023,0.00127928,0.00127928,0.00127928
93,1209.15,2.77148,0.71233,1.41692,0.94413,0.77419,0.89832,0.38685,2.51729,0.68831,1.3238,0.00127136,0.00127136,0.00127136
