epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2926.9,1.36913,0.55241,1.30317,0.98881,0.98739,0.99326,0.6859,1.2728,0.50534,1.22679,0.000587733,0.000587733,0.000587733
42,2999.06,1.35639,0.55239,1.30667,0.99135,0.99202,0.9941,0.68059,1.29792,0.50247,1.23675,0.000582427,0.000582427,0.000582427
43,3070.78,1.36154,0.5538,1.30917,0.98716,0.98936,0.99306,0.68714,1.2802,0.49623,1.22711,0.00057712,0.00057712,0.00057712
44,3142.49,1.35758,0.5493,1.30651,0.9883,0.98865,0.99411,0.68565,1.27461,0.51814,1.22692,0.000571813,0.000571813,0.000571813
45,3214.45,1.3502,0.54958,1.29664,0.98688,0.98936,0.99279,0.67734,1.29932,0.50312,1.23121,0.000566507,0.000566507,0.000566507
46,3286.29,1.34843,0.54046,1.29701,0.98768,0.99096,0.99409,0.69074,1.26522,0.50615,1.22229,0.0005612,0.0005612,0.0005612
47,3358.01,1.35484,0.54718,1.29846,0.9899,0.99014,0.994,0.69494,1.2578,0.49122,1.21465,0.000555893,0.000555893,0.000555893
48,3429.22,1.34758,0.53951,1.29369,0.98751,0.98723,0.9937,0.69502,1.25066,0.49672,1.2148,0.000550587,0.000550587,0.000550587
49,3501.25,1.34392,0.54254,1.29024,0.98721,0.9883,0.99302,0.6901,1.26409,0.50012,1.21594,0.00054528,0.00054528,0.00054528
50,3572.92,1.34626,0.54092,1.29949,0.99202,0.99226,0.99352,0.69186,1.2637,0.48983,1.21797,0.000539973,0.000539973,0.000539973
51,3645.51,1.34993,0.54794,1.29585,0.98893,0.98936,0.99264,0.69677,1.25355,0.48819,1.21164,0.000534667,0.000534667,0.000534667
52,3717.24,1.34628,0.54253,1.29406,0.99072,0.99149,0.9935,0.69882,1.25865,0.49225,1.21021,0.00052936,0.00052936,0.00052936
53,3788.58,1.33216,0.53772,1.28463,0.99182,0.99149,0.99439,0.70004,1.2492,0.48515,1.21035,0.000524053,0.000524053,0.000524053
54,3860.01,1.33547,0.53062,1.28167,0.99175,0.99202,0.99372,0.70313,1.25351,0.47735,1.20844,0.000518747,0.000518747,0.000518747
55,3931.92,1.33038,0.53311,1.2959,0.98797,0.9883,0.99222,0.6895,1.25856,0.48728,1.21129,0.00051344,0.00051344,0.00051344
